Date	GBP/CHF			
04 Jan 05	21.972			
05 Jan 05	22.047			
06 Jan 05	22.051			
07 Jan 05	22.175			
10 Jan 05	2.214			
11 Jan 05	22.089			
12 Jan 05	22.024			
13 Jan 05	2.205			
14 Jan 05	22.099			
17 Jan 05	21.962			
18 Jan 05	22.145			
19 Jan 05	22.196			
20 Jan 05	22.303			
21 Jan 05	22.267			
24 Jan 05	2.222			
25 Jan 05	22.291			
26 Jan 05	22.275			
27 Jan 05	22.371			
28 Jan 05	2.241			
31 Jan 05	22.416			
01/02/2005	22.469			
02/02/2005	22.463			
03/02/2005	22.622			
04/02/2005	22.709			
07/02/2005	22.693			
08/02/2005	22.674			
09/02/2005	22.617			
10/02/2005	22.593			
11/02/2005	22.534			
14/02/2005	22.626			
15/02/2005	22.563			
16/02/2005	22.397			
17/02/2005	22.394			
18/02/2005	22.411			
21/02/2005	22.424			
22/02/2005	22.173			
23/02/2005	22.226			
24/02/2005	22.278			
25/02/2005	22.401			
28/02/2005	22.298			
01/03/2005	22.381			
02/03/2005	22.459			
03/03/2005	22.487			
04/03/2005	22.488			
07/03/2005	22.527			
08/03/2005	22.401			
09/03/2005	22.338			
10/03/2005	22.212			
11/03/2005	22.178			
14/03/2005	22.188			
15/03/2005	22.335			
16/03/2005	22.206			
17/03/2005	22.236			
18/03/2005	22.362			
21/03/2005	2.232			
22/03/2005	2.234			
23/03/2005	22.387			
24/03/2005	22.424			
29/03/2005	22.567			
30/03/2005	22.506			
31/03/2005	22.528			
01/04/2005	2.27			
04/04/2005	22.689			
05/04/2005	22.687			
06/04/2005	22.664			
07/04/2005	22.555			
08/04/2005	22.598			
11/04/2005	22.594			
12/04/2005	22.691			
13/04/2005	22.755			
14/04/2005	22.859			
15/04/2005	2.273			
18/04/2005	22.613			
19/04/2005	22.695			
20/04/2005	2.262			
21/04/2005	22.501			
22/04/2005	22.614			
25/04/2005	22.728			
26/04/2005	22.649			
27/04/2005	22.674			
28/04/2005	22.755			
29/04/2005	22.735			
03 May 05	22.632			
04 May 05	22.629			
05 May 05	22.785			
06 May 05	2.28			
09 May 05	22.712			
10 May 05	22.615			
11 May 05	22.588			
12 May 05	22.648			
13 May 05	22.661			
16 May 05	22.449			
17 May 05	2.246			
18 May 05	22.402			
19 May 05	22.474			
20 May 05	2.253			
23 May 05	22.508			
24 May 05	22.477			
25 May 05	22.467			
26 May 05	22.503			
27 May 05	22.504			
31 May 05	22.692			
01 Jun 05	22.712			
02 Jun 05	22.703			
03 Jun 05	22.714			
06 Jun 05	22.692			
07 Jun 05	22.833			
08 Jun 05	22.885			
09 Jun 05	22.866			
10 Jun 05	22.982			
13 Jun 05	2.301			
14 Jun 05	23.084			
15 Jun 05	23.126			
16 Jun 05	23.203			
17 Jun 05	23.033			
20 Jun 05	23.214			
21 Jun 05	23.196			
22 Jun 05	23.163			
23 Jun 05	2.325			
