data filename,Simulation_File_No_SFR.csv,weight function,equal_risk,selection function,drawdown_based_switch,testing end date,2016-01-01
period_1,120.0,threshold,1.0,sharpe,1.8581,sortino,2.2158
period_1,150.0,threshold,1.0,sharpe,2.1445,sortino,2.6014
period_1,180.0,threshold,1.0,sharpe,2.1623,sortino,2.6611
period_1,210.0,threshold,1.0,sharpe,2.7061,sortino,3.5008
period_1,250.0,threshold,1.0,sharpe,2.7915,sortino,3.7057
period_1,300.0,threshold,1.0,sharpe,3.019,sortino,4.1326
period_1,350.0,threshold,1.0,sharpe,3.1997,sortino,4.4658
period_1,400.0,threshold,1.0,sharpe,3.5299,sortino,5.155
period_1,450.0,threshold,1.0,sharpe,3.9029,sortino,5.897
period_1,120.0,threshold,1.5,sharpe,2.2334,sortino,2.6633
period_1,150.0,threshold,1.5,sharpe,2.6069,sortino,3.2376
period_1,180.0,threshold,1.5,sharpe,2.7022,sortino,3.386
period_1,210.0,threshold,1.5,sharpe,3.0361,sortino,3.7821
period_1,250.0,threshold,1.5,sharpe,3.3442,sortino,4.734
period_1,300.0,threshold,1.5,sharpe,4.1433,sortino,6.1126
period_1,350.0,threshold,1.5,sharpe,4.3854,sortino,6.6598
period_1,400.0,threshold,1.5,sharpe,4.0146,sortino,5.5553
period_1,450.0,threshold,1.5,sharpe,4.71,sortino,7.1941
period_1,120.0,threshold,2.0,sharpe,2.8038,sortino,3.5312
period_1,150.0,threshold,2.0,sharpe,2.8774,sortino,3.6073
period_1,180.0,threshold,2.0,sharpe,3.2488,sortino,4.0118
period_1,210.0,threshold,2.0,sharpe,3.3902,sortino,4.0374
period_1,250.0,threshold,2.0,sharpe,4.065,sortino,5.6866
period_1,300.0,threshold,2.0,sharpe,4.6367,sortino,6.9426
period_1,350.0,threshold,2.0,sharpe,4.7206,sortino,6.6891
period_1,400.0,threshold,2.0,sharpe,4.947,sortino,6.5944
period_1,450.0,threshold,2.0,sharpe,5.1588,sortino,7.8478
period_1,120.0,threshold,2.5,sharpe,3.0739,sortino,3.9019
period_1,150.0,threshold,2.5,sharpe,3.3273,sortino,4.0273
period_1,180.0,threshold,2.5,sharpe,3.7873,sortino,4.7218
period_1,210.0,threshold,2.5,sharpe,3.922,sortino,5.0851
period_1,250.0,threshold,2.5,sharpe,4.4049,sortino,6.0863
period_1,300.0,threshold,2.5,sharpe,4.8422,sortino,7.9427
period_1,350.0,threshold,2.5,sharpe,5.1523,sortino,7.3434
period_1,400.0,threshold,2.5,sharpe,4.4161,sortino,6.2678
period_1,450.0,threshold,2.5,sharpe,5.0165,sortino,7.6503
period_1,120.0,threshold,3.0,sharpe,3.0911,sortino,3.6362
period_1,150.0,threshold,3.0,sharpe,3.524,sortino,4.3759
period_1,180.0,threshold,3.0,sharpe,3.8397,sortino,4.6587
period_1,210.0,threshold,3.0,sharpe,3.988,sortino,4.9326
period_1,250.0,threshold,3.0,sharpe,3.7858,sortino,5.4667
period_1,300.0,threshold,3.0,sharpe,4.1412,sortino,6.3401
